314004,108,105,109,99,100
314045,93,96,110,120,
314001,64,78,,,
314002,80,59,66,,
314060,92,55,,,
314026,53,50,51,,
314065,17,22,18,19,
314084,112,128,94,125,
314042,125,113,15,127,
314082,106,14,100,112,103
314057,66,50,56,80,100
314079,12,47,49,50,53
314016,72,70,59,,
314097,89,50,,,
314091,59,92,76,18,66
314063,49,117,,,
314047,49,117,,,
314092,75,87,120,70,79
314096,16,21,,,
314064,106,101,109,127,125
314104,51,55,88,71,76
314111,105,71,96,80,49
314138,98,103,97,100,
314115,103,106,98,101,126
314169,61,70,,,
314159,97,128,94,107,123
314165,52,,,,
314155,50,86,63,75,
314130,37,24,17,27,16
314150,94,112,,,
314148,7,,,,
314139,129,123,118,104,115
314112,107,105,109,,
314179,49,68,69,96,108
314180,49,58,64,52,56
314075,39,36,,,
314153,7,13,,,
314125,66,90,81,83,50
314053,59,76,,,
314196,100,16,21,24,
314204,74,51,84,,
314083,25,16,27,,
314220,128,116,93,34,91
314068,49,52,51,75,48
314081,89,50,56,100,
314114,44,38,68,49,
314162,57,74,84,58,64
314234,106,101,125,113,126
314023,29,32,31,33,
314113,24,11,,,
314223,62,51,49,50,35
314221,126,127,106,,
314028,56,50,86,70,
314051,89,70,76,,
314203,66,49,86,57,82
314070,5,15,3,1,
314210,114,121,78,108,130
314205,24,,,,
314227,16,94,103,,
314233,45,24,,,
314267,130,107,120,121,124
314132,59,75,66,107,36
314263,43,,,,
314254,104,92,71,94,74
314257,126,127,100,,
314212,86,70,75,80,
314222,102,116,118,96,104
314195,106,125,98,101,107
314269,112,116,41,118,93
314244,89,72,86,78,63
314261,131,49,107,50,69
314184,14,103,106,,
314098,14,,,,
314281,110,131,84,95,
314012,100,14,103,,
314290,100,97,,,
314193,96,76,82,73,49
314197,103,14,13,35,128
314078,40,44,38,49,
314292,95,132,131,112,104
314015,54,61,84,96,104
314226,39,120,64,,
314185,126,101,127,106,103
314303,13,14,98,80,100
314259,127,100,,,
314275,103,14,106,128,101
314305,126,127,18,,
314164,102,41,43,,
314296,84,58,74,49,52
314215,120,119,107,121,122
314336,16,17,20,25,
314062,64,69,51,58,74
314325,78,49,57,130,60
314326,20,27,17,24,
314116,29,31,,,
314214,77,78,63,70,54
314354,59,80,66,,
314276,103,14,128,34,93
314338,101,125,73,107,92
314324,48,90,77,38,49
314232,98,66,97,122,
314315,103,,,,
314003,9,7,48,,
314258,96,104,129,123,115
314348,71,50,56,63,61
314300,126,127,,,
314006,68,74,64,49,
314038,59,50,,,
314283,100,35,128,112,103
314167,4,6,11,,
314071,25,18,24,,
314297,72,91,49,71,65
314391,58,69,74,88,131
314216,127,126,106,101,113
314361,103,14,123,,
314346,71,96,65,82,49
314249,103,94,80,13,125
314312,89,72,108,120,
314166,76,72,25,,
314376,66,86,83,80,63
314417,128,103,98,14,13
314331,127,126,,,
314395,45,29,27,18,
314095,91,77,,,
314131,106,128,,,
314323,107,119,124,105,
314163,54,86,89,80,70
314129,89,56,50,86,75
314342,110,,,,
314108,131,114,,,
314080,100,73,127,,
314048,13,66,123,15,2
314318,78,66,,,
314432,14,106,103,125,13
314435,126,103,127,,
314123,44,124,107,100,78
314337,35,120,96,,
314307,67,63,70,56,50
314350,106,103,14,,
314396,56,76,53,,
314022,78,60,70,54,
314319,49,57,68,58,84
314409,14,,,,
314426,82,,,,
314101,107,120,108,97,121
314293,113,100,127,114,101
314224,63,80,54,49,
314256,106,98,14,127,103
314013,49,52,58,74,
314439,21,78,69,117,42
314077,79,78,120,124,56
314043,63,86,73,84,90B
314299,107,56,50,54,81
314390,80,72,66,130,117
314401,114,5,131,,
314451,38,30,36,39,100
314282,118,38,92,93,96
314040,38,40,53,59,93
314033,51,87,36,12,71
314035,66,78,69,61,63
314228,123,43,95,118,26
314317,28,59,93,132,89
314310,72,66,80,89,56
314229,65,42,105,39,
314106,52,71,51,87,12
314250,131,60,108,,
314285,66,100,84,80,49
314174,50,78,63,51,47
314343,101,100,106,,
314379,44,42,38,39,
314386,58,35,,,
314408,103,,,,
314135,116,115,82,34,26
314052,66,91,,,
314372,96,123,39,104,109
314410,59,66,80,50,75
314383,102,94,116,,
314425,44,21,,,
314242,107,35,124,78,
314405,79,49,,,
314241,107,35,96,124,
314394,82,,,,
314192,89,66,100,70,80
314100,122,97,107,35,103
314478,72,50,56,64,63
314468,131,49,38,74,108
314330,14,94,112,115,125
314362,93,95,110,123,
314357,54,88,79,58,53
314402,19,,,,
314151,63,74,70,72,47
314355,5,14,114,51,
314452,82,93,,,
314219,13,94,,,
314433,50,72,25,,
314314,19,25,31,22,
314339,53,60,74,,
314411,13,67,100,60,
314414,91,55,92,47,
314352,15,112,1,96,
314211,110,131,108,122,114
314225,43,37,31,57,60
314423,43,6,11,,
314019,49,51,71,78,65
314462,72,49,55,,
314186,72,75,87,63,64
314442,122,,,,
314284,128,13,106,14,100
314031,71,131,7,,
314335,4,110,96,82,112
314175,67,59,,,
314445,68,66,77,51,5
314332,130,111,92,117,76
314059,99,96,109,113,127
314329,127,126,106,125,113
314398,78,58,51,54,
314388,104,95,96,123,
314253,104,115,96,123,129
314416,116,111,96,42,102
314277,126,127,101,8,125
314503,90,73,78,60,59
314430,103,98,125,106,128
314483,97,124,35,98,103
314465,87,70,,,
314067,124,84,100,88,
314005,101,103,127,106,125
314302,113,106,73,94,
314086,101,125,128,106,98
314454,128,106,103,101,125
314289,68,67,80,64,58
314183,60,62,52,51,49
314301,49,,,,
314471,50,80,56,89,66
314512,9,13,,,
314419,119,109,129,105,115
314407,72,39,56,,
314480,124,122,91,65,
314421,107,69,5,131,
314428,50,,,,
314358,79,121,108,35,56
314103,68,66,72,50,
314441,63,49,54,56,35
314126,21,12,38,72,50
314427,72,66,56,83,77
314505,51,,,,
314058,66,63,50,80,86
314497,50,63,76,83,54
314504,103,128,14,106,
314367,50,103,86,27,33
314341,19,17,,,
314128,25,33,,,
314069,66,55,59,41,91
314377,66,107,58,76,49
314369,103,14,,,
314365,49,82,54,83,
314262,84,51,108,89,49
314009,59,24,,,
314264,13,100,103,35,94
314313,38,36,64,,
314044,55,89,76,96,99
314413,59,50,80,25,
314279,60,57,,,
314389,59,80,66,36,
314252,34,102,,,
314207,68,120,108,,
314364,87,72,75,84,71
314181,59,72,64,61,70
314270,45,46,26,23,
314351,66,72,77,49,50
314434,103,100,,,
314146,124,122,107,130,74
314472,38,30,40,43,36
314519,107,128,106,,
314141,96,36,72,,
314353,63,36,96,108,58
314327,50,76,63,70,49
314360,86,49,84,56,50
314530,69,78,120,,
314529,41,123,96,,
314517,49,78,84,,
314661,13,,,,
314368,91,28,85,,
314412,76,92,82,93,
314049,19,22,91,46,45
314476,50,22,100,92,45
314363,52,74,53,51,7
314420,45,46,,,
314393,127,73,103,106,
314485,106,103,100,127,94
314458,19,,,,
